n,time
10,389.147
20,515.812
30,549.761
40,536.663
50,575.698
60,630.805
70,547.907
80,573.703
90,573.426
100,568.87
110,603.137
120,598.138
130,602.974
140,590.343
150,587.666
160,567.84
170,577.427
180,596.36
190,594.686
200,584.424
210,571.735
220,587.241
230,584.435
240,594.115
250,590.503
260,594.385
270,598.169
280,592.121
290,594.446
300,583.116
310,583.811
320,586.5
330,580.717
340,593.644
350,586.608
360,590.781
370,574.684
380,584.03
390,572.284
400,592.768
410,597.565
420,595.686
430,595.32
440,595.926
450,594.283
460,588.688
470,594.009
480,588.377
490,581.875
500,588.773
510,590.651
520,601.148
530,597.389
540,599.39
550,608.603
560,606.085
570,610.547
580,594.8
590,594.995
600,603.006
610,601.738
620,597.863
630,603.414
640,597.252
650,592.332
660,602.42
670,595.584
680,580.445
690,589.791
700,585.118
710,598.158
720,595.89
730,589.046
740,587.777
750,593.602
760,591.174
770,590.195
780,586.762
790,588.257
800,587.932
810,588.004
820,594.875
830,592.321
840,588.716
850,590.492
860,583.637
870,594.83
880,594.38
890,590.262
900,589.924
910,587.768
920,589.867
930,598.912
940,613.071
950,596.496
960,594.301
970,589.845
980,602.968
990,582.274
1000,581.018
1010,596.05
1020,597.899
1030,589.366
1040,597.377
1050,596.401
1060,599.319
1070,591.814
1080,592.736
1090,597.959
1100,598.309
1110,600.617
1120,598.989
1130,600.312
1140,603.243
1150,591.412
1160,606.336
1170,597.91
1180,589.506
1190,593.713
1200,598.731
1210,595.422
1220,597.156
1230,594.242
1240,605.082
1250,592.225
1260,601.786
1270,603.169
1280,602.471
1290,610.259
1300,601.6
1310,606.762
1320,599.849
1330,600.365
1340,584.56
1350,596.666
1360,593.513
1370,641.702
1380,599.541
1390,596.757
1400,593.846
1410,605.464
1420,596.775
1430,600.537
1440,590.065
1450,583.441
1460,597.09
1470,593.096
1480,597.475
1490,593.872
1500,602.326
1510,595.523
1520,593.345
1530,587.617
1540,627.991
1550,598.459
1560,594.437
1570,594.796
1580,597.622
1590,595.232
1600,591.977
1610,590.816
1620,595.866
1630,591.915
1640,586.26
1650,600.163
1660,594.575
1670,594.292
1680,588.095
1690,595.542
1700,595.741
1710,594.335
1720,589.122
1730,593.68
1740,589.171
1750,601.329
1760,592.475
1770,592.68
1780,595.715
1790,594.081
1800,599.73
1810,594.934
1820,599.091
1830,593.237
1840,595.526
1850,591.569
1860,603.577
1870,591.352
1880,603.639
1890,598.545
1900,613.606
1910,598.617
1920,608.25
1930,592.006
1940,622.368
1950,590.163
1960,583.008
1970,597.195
1980,591.789
1990,597.281
2000,599.21
2010,597.356
2020,599.866
2030,598.37
2040,593.896
2050,590.861
2060,598.813
2070,588.951
2080,601.513
2090,592.65
2100,593.665
2110,597.16
2120,585.695
2130,593.466
2140,585.323
2150,592.082
2160,581.753
2170,594.161
2180,588.342
2190,601.462
2200,587.594
2210,592.453
2220,582.765
2230,579.094
2240,592.281
2250,582.75
2260,597.054
2270,585.897
2280,600.879
2290,593.578
2300,586.608
2310,590.619
2320,589.501
2330,593.107
2340,597.797
2350,598.063
2360,605.4
2370,600.315
2380,609.569
2390,604.193
2400,601.319
2410,599.74
2420,601.723
2430,594.184
2440,600.37
2450,593.361
2460,605.897
2470,589.627
2480,604.097
2490,590.97
2500,592.288
2510,599.845
2520,593.841
2530,596.267
2540,602.724
2550,589.431
2560,596.497
2570,591.831
2580,619.456
2590,596.697
2600,593.094
2610,588.032
2620,588.271
2630,587.708
2640,594.978
2650,588.603
2660,594.962
2670,597.627
2680,589.214
2690,624.727
2700,584.03
2710,597.652
2720,596.593
2730,604.371
2740,591.469
2750,590.097
2760,594.421
2770,596.814
2780,589.847
2790,590.989
2800,595.832
2810,594.372
2820,587.473
2830,597.963
2840,603.785
2850,597.294
2860,600.872
2870,608.146
2880,596.181
2890,591.793
2900,598.732
2910,597.58
2920,593.579
2930,589.407
2940,597.945
2950,591.905
2960,598.958
2970,599.808
2980,605.664
2990,597.304
3000,596.12
3010,594.101
3020,595.502
3030,601.312
3040,591.857
3050,588.775
3060,593.247
3070,589.217
3080,590.682
3090,592.009
3100,592.387
3110,595.798
3120,595.494
3130,618.81
3140,602.658
3150,597.454
3160,599.739
3170,600.087
3180,593.372
3190,604.805
3200,598.764
3210,593.513
3220,602.274
3230,592.744
3240,595.904
3250,592.205
3260,586.667
3270,589.116
3280,594.967
3290,599.069
3300,592.608
3310,591.866
3320,597.232
3330,601.62
3340,595.381
3350,605.556
3360,593.48
3370,596.976
3380,604.106
3390,596.786
3400,597.657
3410,595.655
3420,591.272
3430,598.276
3440,593.636
3450,604.446
3460,603.944
3470,592.845
3480,604.216
3490,590.846
3500,604.81
3510,598.725
3520,596.656
3530,596.441
3540,586.463
3550,595.671
3560,592.977
3570,585.009
3580,584.909
3590,597.805
3600,581.953
3610,595.238
3620,617.149
3630,602.828
3640,585.219
3650,595.76
3660,591.692
3670,597.964
3680,589.281
3690,588.227
3700,589.664
3710,593.166
3720,598.983
3730,598.343
3740,592.329
3750,609.869
3760,596.697
3770,588.744
3780,591.496
3790,606.302
3800,597.62
3810,597.563
3820,612.021
3830,601.03
3840,612.994
3850,604.643
3860,607.856
3870,607.91
3880,596.32
3890,607.25
3900,589.668
3910,584.778
3920,600.402
3930,590.566
3940,597.4
3950,601.587
3960,603.48
3970,593.772
3980,595.28
3990,592.796
4000,583.874
4010,600.499
4020,590.538
4030,596.637
4040,605.381
4050,586.757
4060,594.227
4070,584.96
4080,589.878
4090,592.886
4100,585.996
4110,610.59
4120,591.964
4130,595.215
4140,592.949
4150,595.468
4160,590.47
4170,599.038
4180,586.22
4190,590.519
4200,589.607
4210,596.078
4220,598.155
4230,584.706
4240,594.115
4250,591.048
4260,592.803
4270,595.371
4280,598.584
4290,603.694
4300,609.64
4310,598.67
4320,597.756
4330,596.089
4340,600.618
4350,600.545
4360,590.599
4370,590.82
4380,627.682
4390,592.216
4400,602.036
4410,585.069
4420,590.085
4430,588.217
4440,592.542
4450,595.684
4460,601.869
4470,586.598
4480,589.964
4490,595.613
4500,593.573
4510,594.965
4520,591.6
4530,595.062
4540,598.578
4550,584.156
4560,597.105
4570,593.474
4580,594.342
4590,597.546
4600,588.316
4610,586.548
4620,592.244
4630,602.662
4640,589.902
4650,601.523
4660,587.085
4670,586.931
4680,592.62
4690,594.364
4700,594.891
4710,603.755
4720,597.947
4730,588.012
