n,overlap
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1.90295e-05
14,1.6323e-05
15,1.43644e-05
16,1.23168e-05
17,1.08019e-05
18,2.2117e-05
19,2.00819e-05
20,6.46866e-05
21,0.000128755
22,0.000116035
23,0.000163931
24,0.000158839
25,0.000165605
26,0.000153642
27,0.000233685
28,0.000224074
29,0.000205944
30,0.000192075
31,0.000181375
32,0.000224242
33,0.000211654
34,0.000226224
35,0.000282468
36,0.0002663
37,0.000279506
38,0.00026386
39,0.000257464
40,0.000261658
41,0.000314949
42,0.000312168
43,0.000298903
44,0.000312863
45,0.000298021
46,0.000329976
47,0.000325399
48,0.000317545
49,0.000307006
50,0.000333734
51,0.00032039
52,0.000309104
53,0.000297114
54,0.000284855
55,0.000277127
56,0.000284511
57,0.000275276
58,0.000266254
59,0.000263286
60,0.000266696
61,0.00026238
62,0.000253653
63,0.000267662
64,0.00027865
65,0.000281829
66,0.000274219
67,0.000269308
68,0.000286885
69,0.000280198
70,0.000279707
71,0.000272689
72,0.000286432
73,0.000288641
74,0.000317791
75,0.000317705
76,0.000313632
77,0.000326965
78,0.000318634
79,0.000318072
80,0.000318408
81,0.000330873
82,0.000330401
83,0.000332417
84,0.000335015
85,0.00033485
86,0.000339812
87,0.000337294
88,0.000337594
89,0.000334499
90,0.000330969
91,0.000333752
92,0.000329238
93,0.000332283
94,0.000332154
95,0.000335821
96,0.000333085
97,0.000338691
98,0.000332363
99,0.000338479
100,0.000336746
101,0.000334583
102,0.000341633
103,0.000344835
104,0.000346805
105,0.000360917
106,0.000361765
107,0.000369432
108,0.000372852
109,0.000386944
110,0.000393264
111,0.000389946
112,0.00038376
113,0.000379582
114,0.000382203
115,0.000386001
116,0.000388236
117,0.000384807
118,0.000384093
119,0.000382947
120,0.000377386
121,0.000383547
122,0.000393462
123,0.000391967
124,0.000391784
125,0.000388778
126,0.000383118
127,0.000383868
128,0.000383499
129,0.000390146
130,0.000389057
131,0.000383371
132,0.000378308
133,0.000378012
134,0.00037843
135,0.000384323
136,0.000380201
137,0.000387741
138,0.00039059
139,0.000403156
140,0.000410186
141,0.000404958
142,0.000405374
143,0.000410484
144,0.000409514
